:START_ID,:END_ID,type:TYPE,protocol
IT-WS-01,IT-SRV-02,DEPENDS_ON,
IT-WS-02,IT-SRV-03,DEPENDS_ON,
IT-WS-03,IT-SRV-04,DEPENDS_ON,
IT-WS-04,IT-SRV-05,DEPENDS_ON,
IT-WS-05,IT-SRV-06,DEPENDS_ON,
IT-WS-06,IT-SRV-07,DEPENDS_ON,
IT-WS-07,IT-SRV-08,DEPENDS_ON,
IT-WS-08,IT-SRV-09,DEPENDS_ON,
IT-WS-09,IT-SRV-10,DEPENDS_ON,
IT-WS-10,IT-SRV-11,DEPENDS_ON,
IT-WS-11,IT-SRV-12,DEPENDS_ON,
IT-WS-12,IT-SRV-13,DEPENDS_ON,
IT-WS-13,IT-SRV-14,DEPENDS_ON,
IT-WS-14,IT-SRV-15,DEPENDS_ON,
IT-WS-15,IT-SRV-01,DEPENDS_ON,
IT-WS-16,IT-SRV-02,DEPENDS_ON,
IT-WS-17,IT-SRV-03,DEPENDS_ON,
IT-WS-18,IT-SRV-04,DEPENDS_ON,
IT-WS-19,IT-SRV-05,DEPENDS_ON,
IT-WS-20,IT-SRV-06,DEPENDS_ON,
IT-WS-21,IT-SRV-07,DEPENDS_ON,
IT-WS-22,IT-SRV-08,DEPENDS_ON,
IT-WS-23,IT-SRV-09,DEPENDS_ON,
IT-WS-24,IT-SRV-10,DEPENDS_ON,
IT-WS-25,IT-SRV-11,DEPENDS_ON,
IT-WS-26,IT-SRV-12,DEPENDS_ON,
IT-WS-27,IT-SRV-13,DEPENDS_ON,
IT-WS-28,IT-SRV-14,DEPENDS_ON,
IT-WS-29,IT-SRV-15,DEPENDS_ON,
IT-WS-30,IT-SRV-01,DEPENDS_ON,
IT-SRV-01,OT-HMI-01,DEPENDS_ON,
IT-SRV-02,OT-HMI-02,DEPENDS_ON,
IT-SRV-03,OT-HMI-03,DEPENDS_ON,
IT-SRV-04,OT-HMI-04,DEPENDS_ON,
IT-SRV-05,OT-HMI-05,DEPENDS_ON,
IT-SRV-06,OT-HMI-06,DEPENDS_ON,
IT-SRV-07,OT-HMI-07,DEPENDS_ON,
IT-SRV-08,OT-HMI-08,DEPENDS_ON,
IT-SRV-09,OT-HMI-09,DEPENDS_ON,
IT-SRV-10,OT-HMI-10,DEPENDS_ON,
OT-HMI-01,OT-PLC-01,DEPENDS_ON,Modbus
OT-HMI-02,OT-PLC-02,DEPENDS_ON,Modbus
OT-HMI-03,OT-PLC-03,DEPENDS_ON,Modbus
OT-HMI-04,OT-PLC-04,DEPENDS_ON,Modbus
OT-HMI-05,OT-PLC-05,DEPENDS_ON,Modbus
OT-HMI-06,OT-PLC-06,DEPENDS_ON,Modbus
OT-HMI-07,OT-PLC-07,DEPENDS_ON,Modbus
OT-HMI-08,OT-PLC-08,DEPENDS_ON,Modbus
OT-HMI-09,OT-PLC-09,DEPENDS_ON,Modbus
OT-HMI-10,OT-PLC-10,DEPENDS_ON,Modbus
